Influencer_Id;Post_Id;Post_URL;Number_of_comments
1448284;55261356;http://www.creamylife.com/my-life/11734/happy-weekend-an-update.html;regexp_match;7
32741;130233688;http://www.fashionrocksmysocks.com/2015/07/whats-in-my-travel-bag-video.html;regexp_match;8
1051169;141219520;http://www.frenchweddingstyle.com/paris-bridal-inspiration/;comments_feed;1
927404;140945487;http://feeds.thekitchn.com/~r/apartmenttherapy/thekitchn/~3/K96SkxFs5J0/5-curved-kitchen-counters-that-are-beyond-the-straight-narrow-223078;regexp_match;5
1059483;141249044;http://www.sarahwilson.com/2015/08/too-much-attention-not-distraction-is-the-issue/;regexp_match;14
879775;133009768;http://www.fashionrocksmysocks.com/2015/07/hollister-haul-pickyourperfectpair.html;regexp_match;9
1491854;38080766;http://mrsmarina.wordpress.com/2013/12/16/i-got-get-some-summerlovin/;comments_feed;0
325692;140884430;http://alwaysjudging.com/miami-horror-love-like-mine-cleopold-remix/;comments_feed;0
760850;39749493;http://sarahmhawkinson.blogspot.com/2012/01/new-causeway-mall.html;regexp_match;2
2357148;128629834;http://livingthehealthychoice.com/peanut-butter-granola-bars/;regexp_match;14
324433;141972229;http://stylebubble.co.uk/style_bubble/2015/08/oh-my-gosha.html;regexp_match;11
886174;141903597;http://www.sequinsandthings.com/2015/08/fallsweatshirtoutfitidea.html;regexp_match;13
1050634;132240831;http://gypsetgoddess.com/nizuc-resort-and-spa/;comments_feed;0
1292080;141492905;http://theanamumdiary.co.uk/2015/08/20/teen-bedroom-makover-more-details/;regexp_match;1
985602;111839159;http://www.bellossy.co/2013/05/spring-fever.html;regexp_match;13
2133776;115192433;http://eclecticintrospections.blogspot.com/2015/04/sisterhoof-of-world-bloggers-award.html;regexp_match;12
883528;133144041;http://cat-arzyna.blogspot.com/2015/07/provence-i-love-you.html;regexp_match;60
2424224;133660177;http://www.bigbeautifulblackgirls.com/is-big-new-beautiful/;regexp_match;0
1454070;141763215;http://roxanashomebaking.com/weekly-meal-plan-week-1/;regexp_match;1
326050;140877810;http://www.theelginavenue.com/2015/08/black-denim-dungarees.html;regexp_match;2
1447275;141724956;http://www.100layercakelet.com/2015/08/26/white-and-blush-1st-birthday-for-clara/;regexp_match;0
1447328;141715372;http://www.africanprintinfashion.com/2015/08/fall-with-lisa-folawiyo.html;regexp_match;0
54;142012836;http://withlovefromkat.com/leather-pencil-skirt-with-plaid-shirt/;regexp_match;42
748285;141112392;http://dgmanila.com/2015/08/the-lazy-blazer/;regexp_match;16
942512;10314033;http://sunday-suppers.blogspot.com/2010/03/beet-sandwich-with-ricotta-orange.html;none_matched;-1
1271621;141484033;http://clashdaily.com/2015/08/lois-lerner-mightve-just-stolen-hillarys-evil-email-witch-crown/;status_403;-1
1136771;142030651;http://thechroniclesofher.blogspot.com/2015/08/spring-trends-2015.html;regexp_match;11
1448539;141703586;http://wtvr.com/2015/08/26/poor-taste-10th-anniversary-katrina-snow-globe-features-flooded-homes/;regexp_match;109
1051092;141265938;http://www.adventuresinfashion.ca/2015/08/5-tips-for-clearer-skin.html;regexp_match;1
1374568;141605682;http://www.barefeetinthekitchen.com/2015/08/weekly-meal-plan-8-24-2015.html;regexp_match;0
2389144;140526606;http://www.heynadine.com/10-uncommon-canadian-adventures/;regexp_match;1
48072;106775870;http://www.hanneli.com/frame/;status_403;-1
2377054;138059359;http://fisti.ru/beauty/1417705163;none_matched;-1
1454905;141854277;http://highschoolsports.oregonlive.com/news/article/-55016008499746412/lakeridge-coach-elvis-akpla-previews-the-2015-season-video/;regexp_match;0
325889;141975544;http://www.miarmarioenruinas.com/beautiful-embroidered-shirt/;regexp_match;14
1086857;141677531;http://granmisterio.org/2015/08/27/el-misterio-de-las-extranas-luces-que-aparecen-en-la-luna/;comments_feed;0
908251;140068399;http://www.milenalesecret.de/2015/08/back-in-hamburg/;status_403;-1
1274569;132825726;http://woodtv.com/2015/07/31/beijing-selected-to-host-2022-winter-olympics/;regexp_match;8
326227;138616309;http://mariezamboli.com/versace-pop-medusa-sunglasses/;regexp_match;7
755744;141987134;http://www.mydubio.com/4-things-to-take-away-from-stockholm-fashion-week/;comments_feed;0
899665;---;---;---;Exception: Message: Can't load the profile. Profile Dir: %s If you specified a log_file in the FirefoxBinary constructor, check it for details.

